Total Median Housing values (DOLLARS),state,county,tract,block group,Total Median contract rent (DOLLARS),Total Population 25 years and older that have less than a college education,Total Population that is 25 years and older ,Total Median Gross Rent As A Percentage Of Household Income In The Past 12 Months (Dollars),Total below povery line (population whose poverty level is determined),Total Population for whom poverty status is determined,Total Number of Vacant Housing Units,Total Number of Housing Units,Total Number of Owner per housing unit,Total Number of Renter per housing unit,Total Number of Occupied Housing Units,Total number of person(only Hisapnic),Total number of person(only White),Total number of person(only Black or African American),Total population,Year
112900,36,029,007902,4,-666666666,215,666,-666666666.0,0,872,0,384,384,0,384,0,872,0,872,2015
128300,36,029,007902,5,770,200,736,27.4,19,1000,0,410,363,47,410,3,953,47,1000,2015
125000,36,029,007902,6,-666666666,141,423,-666666666.0,65,637,0,248,232,16,248,63,574,0,637,2015
111700,36,029,007903,1,767,210,738,27.2,68,973,25,522,413,84,497,11,890,49,973,2015
115600,36,029,007903,2,-666666666,373,781,-666666666.0,30,1078,0,433,425,8,433,0,1071,0,1078,2015
123800,36,029,007903,3,,363,992,10.0,8,1246,23,538,468,47,515,0,1271,0,1271,2015
118400,36,029,007904,1,860,312,1010,24.1,183,1406,0,551,452,99,551,18,1381,0,1406,2015
125500,36,029,007904,2,-666666666,142,433,-666666666.0,0,634,0,235,218,17,235,140,494,0,634,2015
116800,36,029,007904,3,935,324,970,39.4,118,1283,38,676,450,188,638,16,1090,54,1283,2015
130000,36,029,007905,1,843,513,1479,25.2,335,1794,154,1119,641,324,965,78,1547,95,1794,2015
142600,36,029,007905,2,-666666666,215,548,-666666666.0,29,652,0,364,364,0,364,0,652,0,652,2015
128100,36,029,007905,3,-666666666,343,1270,-666666666.0,16,1725,17,693,676,0,676,44,1707,0,1725,2015
112800,36,029,008001,1,-666666666,161,580,-666666666.0,12,704,35,361,309,17,326,0,673,0,704,2015
118100,36,029,008001,2,,239,1039,40.4,86,1497,0,540,491,49,540,36,1234,38,1595,2015
92600,36,029,008001,3,593,325,780,25.2,183,1215,0,435,270,165,435,57,833,277,1252,2015
109100,36,029,008001,4,-666666666,179,316,-666666666.0,0,426,35,225,190,0,190,0,400,0,426,2015
151500,36,029,008001,5,627,243,634,50.0,277,971,0,383,214,169,383,53,701,247,971,2015
96900,36,029,008001,6,-666666666,175,711,-666666666.0,72,906,31,411,330,50,380,12,826,80,906,2015
138500,36,029,008002,1,660,169,722,30.9,332,1160,0,472,263,209,472,290,1151,44,1211,2015
112600,36,029,008002,2,580,142,432,23.7,46,519,0,270,176,94,270,0,509,0,519,2015
122500,36,029,008002,3,673,418,1157,37.4,167,1918,17,765,489,259,748,15,1703,97,1918,2015
120700,36,029,008002,4,-666666666,234,882,-666666666.0,25,1053,0,473,444,29,473,0,1053,0,1053,2015
124000,36,029,008002,5,627,211,555,37.7,53,708,17,332,261,54,315,0,696,12,708,2015
153800,36,029,008002,6,-666666666,66,447,-666666666.0,0,494,0,264,247,17,264,0,494,0,494,2015
97100,36,029,008003,1,-666666666,317,655,-666666666.0,56,830,59,443,384,0,384,0,818,12,830,2015
108100,36,029,008003,2,719,315,519,50.0,444,1074,20,380,241,119,360,27,1059,0,1074,2015
115300,36,029,008003,3,638,308,638,31.3,69,759,19,371,193,159,352,0,650,0,759,2015
113100,36,029,008003,4,606,285,1009,17.8,89,1514,0,610,404,206,610,84,1257,67,1514,2015
107300,36,029,008003,5,-666666666,370,889,-666666666.0,4,1498,0,477,453,24,477,75,1399,60,1498,2015
114200,36,029,008101,1,663,299,993,14.2,61,1341,66,698,443,189,632,0,1229,0,1341,2015
128500,36,029,008101,2,,223,807,17.8,56,1144,48,598,426,124,550,0,1119,0,1144,2015
130600,36,029,008101,3,797,252,674,24.1,101,899,0,397,223,174,397,0,740,25,899,2015
118000,36,029,008101,4,629,241,734,22.2,35,890,0,485,338,147,485,70,847,0,890,2015
105200,36,029,008101,5,749,476,1004,32.5,19,1215,77,775,319,379,698,2,1115,51,1215,2015
162500,36,029,008102,1,713,144,708,23.3,41,945,0,448,344,104,448,18,887,0,945,2015
121700,36,029,008102,2,625,252,831,28.9,80,1274,0,564,346,218,564,76,1212,42,1283,2015
242700,36,029,008102,3,-666666666,35,473,-666666666.0,58,581,36,325,289,0,289,0,581,0,581,2015
162300,36,029,008102,4,-666666666,129,636,-666666666.0,10,771,0,367,354,13,367,8,748,5,771,2015
120700,36,029,008102,5,-666666666,164,414,-666666666.0,62,521,24,312,270,18,288,12,521,0,521,2015
105400,36,029,008201,1,698,246,525,50.0,121,729,18,373,234,121,355,55,674,19,729,2015
106900,36,029,008201,2,636,194,598,22.8,46,754,9,403,258,136,394,32,719,3,754,2015
107000,36,029,008201,3,256,331,737,20.0,87,994,0,390,350,40,390,32,974,15,994,2015
120100,36,029,008202,1,606,265,746,21.0,17,994,58,507,307,142,449,9,963,31,994,2015
110900,36,029,008202,2,491,213,478,25.0,16,561,62,412,148,202,350,0,561,0,561,2015
,36,029,002800,3,523,148,232,50.0,239,383,93,237,62,82,144,36,102,156,383,2015
37100,36,029,002800,4,474,267,521,50.0,246,886,84,439,127,228,355,21,156,666,886,2015
31500,36,029,002900,1,500,141,260,45.6,212,424,101,248,46,101,147,22,58,346,432,2015
,36,029,002900,2,520,149,339,47.4,63,499,98,326,129,99,228,0,136,322,499,2015
24900,36,029,002900,3,513,135,251,40.2,451,685,89,293,43,161,204,0,10,675,685,2015
57500,36,029,002900,4,426,170,270,50.0,170,385,85,313,77,151,228,4,9,376,385,2015
45000,36,029,003000,1,708,169,390,46.5,161,625,32,360,143,185,328,17,105,498,625,2015
29600,36,029,003000,2,559,357,709,45.4,536,1117,123,604,209,272,481,44,169,710,1117,2015
55400,36,029,003000,3,482,193,543,31.6,394,837,143,416,190,83,273,15,77,728,837,2015
82100,36,029,003100,1,425,111,200,50.0,18,336,234,383,89,60,149,0,9,327,336,2015
34200,36,029,003100,2,-666666666,176,280,-666666666.0,43,332,107,278,153,18,171,0,9,306,332,2015
53800,36,029,003100,3,367,462,748,28.1,228,749,175,458,108,175,283,11,166,856,1037,2015
-666666666,36,029,003100,4,188,126,216,27.4,150,321,16,171,0,155,155,12,59,255,338,2015
41400,36,029,003301,1,561,215,497,24.5,243,696,114,338,55,169,224,8,154,693,855,2015
48500,36,029,003301,2,595,264,505,34.3,258,818,57,400,222,121,343,0,0,787,818,2015
46100,36,029,003301,3,563,375,727,49.7,357,1254,162,682,136,384,520,17,0,1246,1254,2015
52900,36,029,003301,4,610,216,511,50.0,408,933,115,478,271,92,363,0,14,919,933,2015
34000,36,029,003302,1,425,149,368,34.5,136,501,143,455,201,111,312,0,14,506,520,2015
23100,36,029,003302,2,481,252,566,50.0,459,830,95,539,157,287,444,0,93,676,830,2015
31100,36,029,003302,3,542,451,676,30.3,421,1100,78,453,157,218,375,49,12,1052,1100,2015
22600,36,029,003302,4,262,271,443,28.9,382,720,107,424,93,224,317,93,0,591,720,2015
28400,36,029,003400,1,431,74,320,33.2,153,484,73,361,140,148,288,0,0,465,484,2015
,36,029,003400,2,426,183,376,46.5,203,714,93,403,182,128,310,0,0,699,714,2015
23800,36,029,003400,3,448,152,318,50.0,190,492,209,454,108,137,245,0,38,428,492,2015
21400,36,029,003400,4,443,43,207,17.7,29,286,63,206,73,70,143,0,0,264,286,2015
,36,029,003400,5,516,129,218,50.0,106,343,63,227,63,101,164,11,3,354,361,2015
53100,36,029,003500,1,346,127,212,50.0,135,250,0,160,71,89,160,1,76,165,250,2015
28000,36,029,003500,2,436,206,459,50.0,141,616,178,526,179,169,348,31,8,566,616,2015
21100,36,029,003500,3,432,424,633,31.3,664,1305,148,721,148,425,573,0,7,1290,1305,2015
38500,36,029,003500,4,481,375,564,50.0,366,809,117,610,206,287,493,0,24,785,809,2015
,36,029,003600,1,480,282,472,50.0,523,925,18,340,129,193,322,0,133,792,925,2015
28200,36,029,003600,2,604,154,316,37.6,242,622,107,390,125,158,283,0,0,622,622,2015
23900,36,029,003600,3,450,340,511,40.6,391,767,144,504,154,206,360,37,150,593,767,2015
32200,36,029,003600,4,,80,354,40.8,127,392,40,196,112,44,156,8,73,271,392,2015
37700,36,029,003700,1,514,351,671,50.0,556,1129,45,505,144,316,460,2,120,1017,1138,2015
29000,36,029,003700,2,613,397,592,38.5,485,1246,52,453,152,249,401,6,135,1068,1246,2015
,36,029,003700,3,706,85,155,50.0,79,310,43,169,89,37,126,7,68,201,310,2015
38500,36,029,003700,4,591,263,670,37.3,562,1139,63,550,165,322,487,5,53,986,1139,2015
43400,36,029,003700,5,481,100,317,50.0,186,503,76,304,135,93,228,105,60,423,503,2015
33000,36,029,003800,1,526,432,637,39.2,296,996,49,452,205,198,403,0,149,847,996,2015
,36,029,003800,2,583,255,439,50.0,658,953,50,363,59,254,313,0,76,838,953,2015
38000,36,029,003800,3,483,172,462,27.9,232,1047,93,488,112,283,395,223,102,841,1059,2015
50400,36,029,003901,1,538,339,692,44.3,329,987,79,586,233,274,507,6,19,929,987,2015
40200,36,029,004001,1,680,485,734,50.0,471,1189,66,619,165,388,553,0,9,1170,1198,2015
99400,36,029,008202,3,625,147,423,17.9,25,604,74,329,175,80,255,0,575,29,604,2015
89300,36,029,008202,4,589,197,483,20.5,58,684,0,297,134,163,297,30,684,0,684,2015
110600,36,029,008202,5,347,384,647,23.5,73,672,75,457,119,263,382,14,711,105,824,2015
87100,36,029,008300,1,447,462,750,28.5,360,1210,53,690,151,486,637,185,841,169,1282,2015
54700,36,029,008300,2,480,172,362,48.7,254,559,0,261,29,232,261,14,423,52,559,2015
70600,36,029,008300,3,483,185,299,30.6,243,527,22,262,52,188,240,112,393,0,527,2015
98400,36,029,008400,1,-666666666,307,362,-666666666.0,49,416,49,241,188,4,192,10,406,0,416,2015
88600,36,029,008400,2,917,453,853,19.3,250,1065,46,493,358,89,447,0,1000,0,1065,2015
72200,36,029,008400,3,439,247,538,29.0,499,1002,69,421,157,195,352,19,684,0,1002,2015
128300,36,029,008500,1,388,213,861,28.3,104,1018,38,628,340,250,590,18,975,11,1023,2015
118600,36,029,008500,2,620,320,923,29.4,39,1364,16,582,412,154,566,133,1188,105,1364,2015
117900,36,029,008600,1,715,110,536,18.0,94,799,42,376,293,41,334,0,787,0,799,2015
102400,36,029,008600,2,-666666666,104,592,-666666666.0,0,922,0,306,306,0,306,0,802,0,922,2015
127500,36,029,008600,3,638,103,721,13.6,0,944,0,393,304,89,393,19,933,0,944,2015
123700,36,029,008600,4,-666666666,48,382,-666666666.0,0,412,0,262,246,16,262,0,412,0,412,2015
100900,36,029,008600,5,547,204,599,41.1,124,650,0,527,67,460,527,0,522,95,650,2015
141700,36,029,008600,6,626,117,674,21.2,40,861,0,366,229,137,366,0,848,0,861,2015
96700,36,029,008700,1,693,182,456,50.0,66,623,42,348,244,62,306,0,569,23,623,2015
87300,36,029,008700,2,,337,796,48.4,154,1131,0,398,311,87,398,40,1101,30,1131,2015
111800,36,029,008700,3,622,221,825,50.0,210,1315,38,573,422,113,535,0,1314,1,1315,2015
111800,36,029,008700,4,498,199,506,21.5,19,709,48,348,205,95,300,109,574,19,709,2015
127800,36,029,008700,5,520,140,784,31.8,75,947,34,567,289,244,533,83,947,0,947,2015
103700,36,029,008800,1,591,158,549,24.3,87,710,0,338,151,187,338,18,700,10,710,2015
95000,36,029,008800,2,602,348,973,31.3,65,1280,25,586,410,151,561,32,1233,11,1280,2015
96100,36,029,008800,3,585,303,1094,24.6,241,1581,27,744,469,248,717,35,1257,273,1581,2015
135800,36,029,008900,1,630,101,746,22.2,28,966,63,507,335,109,444,29,951,0,966,2015
155600,36,029,008900,2,622,105,452,16.1,38,576,9,263,173,81,254,0,547,29,576,2015
188400,36,029,008900,3,654,69,567,22.1,62,697,0,371,266,105,371,28,628,41,697,2015
150700,36,029,008900,4,1259,43,522,22.1,9,751,5,347,263,79,342,22,695,23,751,2015
199700,36,029,008900,5,380,126,920,22.9,121,1314,9,583,359,215,574,14,1245,23,1322,2015
164500,36,029,009004,1,-666666666,236,1401,-666666666.0,20,1801,27,850,790,33,823,106,1683,48,1831,2015
215500,36,029,009004,2,731,154,1212,31.0,17,1765,47,711,618,46,664,80,1757,0,1765,2015
178400,36,029,009006,1,-666666666,201,1005,-666666666.0,27,1499,0,608,573,35,608,118,1358,180,1555,2015
150200,36,029,009006,2,1171,409,1145,31.4,60,1402,52,744,409,283,692,0,1217,0,1402,2015
240600,36,029,009006,3,-666666666,146,918,-666666666.0,10,1303,32,540,438,70,508,40,1273,2,1303,2015
158700,36,029,009006,4,980,254,1091,19.5,144,1607,44,679,358,277,635,16,1213,0,1607,2015
194000,36,029,009006,5,-666666666,217,1046,-666666666.0,25,1603,0,569,553,16,569,4,1515,5,1603,2015
287300,36,029,009007,1,-666666666,131,1149,-666666666.0,75,1641,0,587,576,11,587,29,1408,12,1641,2015
352300,36,029,009007,2,-666666666,67,937,-666666666.0,32,1499,43,502,391,68,459,224,1240,0,1514,2015
248500,36,029,009007,3,-666666666,213,1763,-666666666.0,71,2461,27,967,927,13,940,35,2153,19,2461,2015
277800,36,029,009007,4,-666666666,155,1220,-666666666.0,104,1785,46,703,625,32,657,0,1558,0,1785,2015
161800,36,029,009008,1,,330,1145,50.0,67,1352,51,755,606,98,704,13,1457,0,1457,2015
205700,36,029,009008,2,1826,254,854,50.0,35,822,71,585,254,260,514,5,835,38,989,2015
333300,36,029,009008,3,1519,208,1835,27.5,78,2407,110,1241,546,585,1131,8,1881,41,2407,2015
55200,36,029,000110,1,488,156,311,29.6,40,430,52,227,140,35,175,26,432,0,446,2015
-666666666,36,029,000110,2,-666666666,0,0,-666666666.0,0,0,0,0,0,0,0,0,0,0,0,2015
55300,36,029,000110,3,549,408,610,39.9,420,1080,61,390,200,129,329,441,472,167,1091,2015
59000,36,029,000110,4,545,443,902,34.2,297,1317,46,582,289,247,536,231,1121,0,1317,2015
60800,36,029,000200,1,523,645,928,25.7,451,1345,0,555,241,314,555,176,1087,11,1358,2015
56600,36,029,000200,2,563,246,464,50.0,271,654,39,318,205,74,279,150,498,20,664,2015
61600,36,029,000200,3,474,561,889,27.8,192,1145,80,603,291,232,523,10,1076,33,1151,2015
56800,36,029,000200,4,430,351,577,41.2,339,977,34,445,147,264,411,239,688,18,977,2015
43900,36,029,000500,1,421,426,616,50.0,265,870,170,551,264,117,381,205,766,0,870,2015
37800,36,029,000500,2,445,324,580,43.3,520,1197,78,498,235,185,420,262,1012,22,1206,2015
71800,36,029,000600,1,501,421,1206,36.6,272,1639,15,786,516,255,771,72,1583,0,1639,2015
87500,36,029,000600,2,422,278,793,16.0,52,1023,110,565,398,57,455,35,1022,1,1023,2015
76100,36,029,000600,3,795,360,773,18.4,88,1079,37,499,370,92,462,198,769,240,1079,2015
87500,36,029,000600,4,554,76,524,27.2,231,760,40,375,219,116,335,1,548,219,769,2015
131300,36,029,000700,1,-666666666,69,389,-666666666.0,106,637,26,242,183,33,216,21,637,0,637,2015
99300,36,029,000700,2,512,150,524,22.7,9,717,26,353,274,53,327,12,678,0,717,2015
103800,36,029,000700,3,-666666666,195,443,-666666666.0,7,722,0,237,231,6,237,0,681,7,722,2015
105400,36,029,000700,4,562,297,796,20.3,0,909,111,527,252,164,416,3,1021,12,1036,2015
100000,36,029,000700,5,439,222,487,15.9,3,660,20,305,210,75,285,15,649,3,660,2015
83900,36,029,000800,1,573,273,598,50.0,68,776,31,359,273,55,328,0,776,0,783,2015
72800,36,029,000800,2,484,490,1034,20.9,177,1547,156,834,455,223,678,65,1443,72,1547,2015
85500,36,029,000800,3,540,497,1246,41.8,448,1819,34,710,381,295,676,156,1690,19,1819,2015
132100,36,029,000800,4,436,153,389,17.3,74,580,0,197,170,27,197,7,573,0,580,2015
42200,36,029,005900,1,476,280,500,23.7,301,964,34,332,161,137,298,428,516,28,964,2015
36500,36,029,005900,2,481,232,404,50.0,410,638,91,377,119,167,286,237,379,73,638,2015
32100,36,029,005900,3,465,249,326,24.5,203,564,83,324,94,147,241,218,187,88,564,2015
50600,36,029,005900,4,422,322,446,50.0,204,580,16,328,128,184,312,96,396,145,580,2015
,36,029,005900,5,404,420,766,29.7,407,1113,60,613,71,482,553,250,741,157,1113,2015
42100,36,029,006100,1,540,499,928,42.8,626,1653,65,512,146,301,447,246,400,339,1653,2015
67900,36,029,006100,2,489,107,379,47.6,274,625,75,347,61,211,272,120,426,115,625,2015
54800,36,029,006100,3,507,245,436,32.5,226,722,111,338,75,152,227,152,521,128,722,2015
81300,36,029,006100,4,552,387,714,32.7,600,1140,90,473,97,286,383,173,291,662,1140,2015
68500,36,029,006100,5,555,164,411,28.9,207,724,114,428,93,221,314,223,145,303,724,2015
-666666666,36,029,006201,1,-666666666,0,51,-666666666.0,0,0,0,0,0,0,0,276,844,694,1920,2015
159500,36,029,006301,1,575,155,740,20.1,171,1078,0,517,211,306,517,121,894,0,1078,2015
350000,36,029,006301,2,776,56,577,19.1,53,767,31,471,130,310,440,35,726,0,767,2015
236500,36,029,006301,3,527,127,631,19.8,113,967,12,395,192,191,383,0,817,134,967,2015
142300,36,029,006301,4,492,404,808,32.9,310,1273,73,671,302,296,598,225,958,20,1273,2015
,36,029,006301,5,591,63,248,25.2,258,562,58,322,39,225,264,45,442,106,562,2015
300000,36,029,006302,1,845,61,759,40.1,65,1024,116,535,230,189,419,67,999,10,1024,2015
272600,36,029,006302,2,793,114,777,27.8,126,1009,8,475,219,248,467,42,1047,32,1109,2015
247400,36,029,006302,3,737,28,371,22.2,52,513,17,284,156,111,267,0,513,0,513,2015
218800,36,029,006501,1,755,45,635,19.0,55,779,39,455,158,258,416,108,607,2,779,2015
189600,36,029,006501,2,825,99,484,22.0,86,721,81,443,167,195,362,24,669,52,721,2015
75000,36,029,006501,3,634,152,438,29.4,98,593,76,358,120,162,282,54,514,28,593,2015
51800,36,029,006501,4,531,100,276,43.7,278,699,29,265,52,184,236,99,261,270,709,2015
,36,029,006601,1,508,99,297,32.5,126,340,50,250,57,143,200,6,141,106,340,2015
186700,36,029,006601,2,753,105,902,23.1,164,1358,124,731,198,409,607,84,1194,50,1358,2015
62100,36,029,006601,3,490,363,550,48.3,595,997,73,375,117,185,302,178,278,52,997,2015
200400,36,029,006602,1,779,66,530,26.4,29,651,80,479,235,164,399,74,562,31,651,2015
270200,36,029,006602,2,859,181,623,25.7,53,586,55,386,79,252,331,0,587,134,769,2015
197800,36,029,006602,3,447,194,631,31.6,285,800,98,624,47,479,526,264,376,290,800,2015
190000,36,029,006701,1,640,171,1161,23.5,109,1301,143,962,199,620,819,51,989,245,1301,2015
115500,36,029,006701,2,587,233,602,22.0,245,796,33,424,104,287,391,125,434,0,796,2015
214200,36,029,006701,3,757,46,794,26.5,248,1056,178,839,97,564,661,53,819,113,1056,2015
267200,36,029,006702,1,673,103,775,29.7,133,853,0,624,176,448,624,0,533,227,853,2015
-666666666,36,029,006702,2,665,278,1146,26.1,430,1388,136,1264,0,1128,1128,173,820,367,1388,2015
368300,36,029,006702,3,548,209,623,23.8,203,682,81,528,111,336,447,88,521,78,709,2015
225300,36,029,006800,1,692,88,651,32.0,154,901,0,512,135,377,512,90,767,51,901,2015
508600,36,029,006800,2,764,53,398,29.4,74,554,226,582,56,300,356,31,411,106,557,2015
,36,029,006800,3,611,321,694,30.1,377,1086,56,543,126,361,487,389,625,102,1086,2015
205400,36,029,006800,4,608,436,1006,26.7,729,1431,169,744,191,384,575,66,946,116,1431,2015
56700,36,029,006901,1,532,150,361,46.7,257,639,130,347,52,165,217,195,126,154,639,2015
54100,36,029,006901,2,430,364,484,50.0,593,953,12,348,67,269,336,358,415,156,953,2015
36300,36,029,006901,3,447,392,604,50.0,682,1089,199,644,130,315,445,400,205,104,1089,2015
52900,36,029,006901,4,533,410,436,33.7,288,610,95,326,40,191,231,288,81,98,610,2015
106400,36,029,006902,1,520,496,1076,42.1,325,1450,58,742,338,346,684,276,686,145,1468,2015
37500,36,029,004001,2,484,242,472,50.0,341,687,55,382,173,154,327,14,138,537,687,2015
66000,36,029,004001,3,449,278,594,50.0,671,1064,66,492,119,307,426,31,9,996,1064,2015
,36,029,004001,4,581,268,446,50.0,478,797,107,409,173,129,302,67,67,670,797,2015
96300,36,029,004001,5,573,187,490,29.4,387,839,29,372,114,229,343,161,584,92,839,2015
42300,36,029,004100,1,531,402,794,47.1,399,1389,141,723,255,327,582,73,29,1305,1407,2015
60700,36,029,004100,2,495,231,698,40.0,149,902,28,497,281,188,469,0,74,746,902,2015
53100,36,029,004100,3,491,204,478,23.6,165,897,33,405,150,222,372,22,99,798,897,2015
62900,36,029,004100,4,553,207,758,46.1,352,1223,104,652,246,302,548,11,220,979,1223,2015
45500,36,029,004200,1,683,209,375,35.6,101,642,59,293,122,112,234,53,18,624,642,2015
41500,36,029,004200,2,625,206,461,50.0,198,647,99,388,157,132,289,0,30,580,647,2015
47300,36,029,004200,3,485,104,303,35.2,190,461,80,332,110,142,252,0,16,445,461,2015
50800,36,029,004200,4,740,185,389,50.0,397,646,16,246,128,102,230,0,14,632,646,2015
48300,36,029,004200,5,584,262,613,32.4,392,1079,0,404,229,175,404,0,51,1028,1079,2015
53400,36,029,004300,1,543,204,526,29.5,163,671,96,443,133,214,347,26,178,459,690,2015
40000,36,029,004300,2,612,220,509,50.0,538,1045,55,401,128,218,346,44,58,954,1045,2015
43700,36,029,004300,3,667,332,805,29.3,716,1632,140,661,101,420,521,0,0,1420,1632,2015
115400,36,029,004300,4,-666666666,44,302,-666666666.0,0,420,0,169,169,0,169,13,134,273,420,2015
64400,36,029,004300,5,544,322,549,24.5,316,1015,0,386,103,283,386,0,142,813,1015,2015
58800,36,029,004300,6,721,249,390,50.0,606,960,137,454,113,204,317,34,103,757,960,2015
62400,36,029,004300,7,-666666666,47,177,-666666666.0,68,249,0,147,85,62,147,0,29,220,249,2015
59800,36,029,004401,1,679,235,506,47.5,195,882,14,320,188,118,306,0,100,782,882,2015
37300,36,029,004401,2,630,252,530,50.0,430,946,94,442,195,153,348,0,18,928,946,2015
52900,36,029,004401,3,495,355,879,31.7,272,1329,101,712,323,288,611,0,20,1309,1329,2015
70800,36,029,004401,4,701,264,715,24.5,386,1182,103,676,112,461,573,12,134,1021,1182,2015
-666666666,36,029,004402,1,234,470,785,22.6,932,1692,69,791,27,695,722,108,51,1559,1692,2015
59000,36,029,004402,2,317,252,554,28.5,646,1028,0,494,144,350,494,0,3,974,1028,2015
104200,36,029,004500,1,620,182,753,35.9,73,855,52,550,250,248,498,29,716,110,855,2015
,36,029,004500,2,735,269,654,25.3,319,874,0,506,68,438,506,17,109,695,890,2015
139700,36,029,004500,3,725,263,1064,42.8,52,1348,44,551,384,123,507,10,1309,13,1348,2015
358900,36,029,004500,4,646,181,756,50.0,93,974,0,307,225,82,307,51,760,214,974,2015
209500,36,029,004500,5,893,163,816,25.6,237,1140,0,418,263,155,418,0,889,104,1145,2015
205600,36,029,004500,6,691,98,523,13.1,0,603,46,363,223,94,317,88,509,17,603,2015
73000,36,029,004601,1,,178,429,23.4,134,669,0,249,192,57,249,45,472,122,669,2015
74100,36,029,004601,2,661,80,460,26.4,129,700,49,319,96,174,270,12,213,213,709,2015
175200,36,029,004601,3,821,100,585,35.5,172,875,17,403,296,90,386,5,620,108,875,2015
,36,029,004601,4,578,12,410,50.0,484,1004,79,430,104,247,351,57,415,145,1019,2015
-666666666,36,029,004602,1,-666666666,12,99,-666666666.0,3,17,0,4,4,0,4,179,566,153,1194,2015
,36,029,004700,1,712,184,543,21.4,109,911,39,454,158,257,415,82,231,584,911,2015
59200,36,029,004700,2,570,93,394,26.3,20,626,121,434,190,123,313,0,120,406,626,2015
55200,36,029,004700,3,,436,852,41.0,188,1398,78,525,307,140,447,0,28,1317,1428,2015
58000,36,029,004700,4,624,304,916,30.1,409,1435,57,743,171,515,686,121,262,767,1435,2015
50800,36,029,004700,5,603,320,568,50.0,738,1441,280,810,187,343,530,212,827,441,1441,2015
145700,36,029,004800,1,688,163,805,30.5,154,1358,14,565,311,240,551,137,1094,128,1358,2015
193800,36,029,004800,2,638,273,958,36.8,83,1354,35,630,400,195,595,69,1222,129,1354,2015
77200,36,029,000900,1,445,130,314,44.8,68,402,34,239,162,43,205,30,372,0,402,2015
90800,36,029,000900,2,614,238,777,21.4,82,979,0,418,247,171,418,59,886,38,983,2015
83300,36,029,000900,3,569,190,595,19.3,79,1026,0,446,167,279,446,128,949,31,1026,2015
48900,36,029,001000,1,579,453,883,28.2,152,1190,165,656,213,278,491,0,1046,142,1222,2015
71200,36,029,001000,2,464,285,525,19.7,37,673,44,368,133,191,324,0,673,0,673,2015
73300,36,029,001000,3,571,406,692,36.0,432,1108,38,489,148,303,451,60,1051,9,1108,2015
73300,36,029,001000,4,542,231,397,34.5,182,591,40,298,127,131,258,15,523,68,591,2015
64400,36,029,001000,5,508,737,1172,22.2,258,1566,95,847,302,450,752,51,1415,131,1566,2015
70500,36,029,001100,1,505,454,817,50.0,313,1141,54,719,309,356,665,32,1130,30,1185,2015
67600,36,029,001100,2,606,318,440,46.1,160,610,45,277,149,83,232,46,551,0,610,2015
63200,36,029,001100,3,568,417,704,50.0,343,1066,87,553,131,335,466,122,850,126,1066,2015
94100,36,029,001402,1,336,381,571,33.5,271,751,48,509,45,416,461,10,0,730,751,2015
-666666666,36,029,001402,2,,98,168,32.3,192,340,145,330,0,185,185,6,0,340,340,2015
81000,36,029,001402,3,525,368,871,31.0,308,1131,74,619,91,454,545,11,51,1033,1131,2015
135200,36,029,001402,4,398,352,507,31.2,148,648,103,459,174,182,356,64,108,451,648,2015
